id,name,matchType,status,venue,match_date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded,match_number
aeb65c00-9359-4bc0-827a-9d0365364d1b,"Kolkata Knight Riders vs Rajasthan Royals, 53rd Match",t20,Kolkata Knight Riders won by 1 run,"Eden Gardens, Kolkata",5/4/2025,2025-05-04T10:00:00,"['Kolkata Knight Riders', 'Rajasthan Royals']",TRUE,TRUE,TRUE,TRUE,TRUE,53rd Match
df44cff0-d889-44a2-a63c-415c93b9d022,"Punjab Kings vs Lucknow Super Giants, 54th Match",t20,Punjab Kings won by 37 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5/4/2025,2025-05-04T14:00:00,"['Punjab Kings', 'Lucknow Super Giants']",TRUE,TRUE,TRUE,TRUE,TRUE,54th Match
4e4b259f-19b6-4405-9df7-b94ce3b0a2c9,"Sunrisers Hyderabad vs Delhi Capitals, 55th Match",t20,No Result - due to rain,"Rajiv Gandhi International Stadium, Hyderabad",5/5/2025,2025-05-05T14:00:00,"['Sunrisers Hyderabad', 'Delhi Capitals']",TRUE,TRUE,TRUE,TRUE,FALSE,55th Match
a97077e7-466a-46e8-b6e7-2b74731b1d42,"Mumbai Indians vs Gujarat Titans, 56th Match",t20,Gujarat Titans won by 3 wkts by DLS Method (Target 147),"Wankhede Stadium, Mumbai",5/6/2025,2025-05-06T14:00:00,"['Mumbai Indians', 'Gujarat Titans']",TRUE,TRUE,TRUE,TRUE,TRUE,56th Match
96324bfb-686e-44b6-a48e-5bd71188d1b2,"Kolkata Knight Riders vs Chennai Super Kings, 57th Match",t20,Chennai Super Kings won by 2 wkts,"Eden Gardens, Kolkata",5/7/2025,2025-05-07T14:00:00,"['Kolkata Knight Riders', 'Chennai Super Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,57th Match
bceb4ff2-269d-47d3-a59d-211f18f59e59,"Royal Challengers Bengaluru vs Kolkata Knight Riders, 58th Match",t20,There is no scorecard available for this match.,"M.Chinnaswamy Stadium, Bengaluru",5/17/2025,2025-05-17T14:00:00,"['Royal Challengers Bengaluru', 'Kolkata Knight Riders']",FALSE,FALSE,TRUE,TRUE,TRUE,58th Match
ac58e81f-a8b1-48e9-b7a1-9990b1bb24c3,"Rajasthan Royals vs Punjab Kings, 59th Match",t20,Punjab Kings opt to bat,"Sawai Mansingh Stadium, Jaipur",5/18/2025,2025-05-18T10:00:00,"['Rajasthan Royals', 'Punjab Kings']",TRUE,TRUE,TRUE,TRUE,FALSE,59th Match
481f7248-302b-4aa4-9af8-45fd85afdf83,"Delhi Capitals vs Gujarat Titans, 60th Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",5/18/2025,2025-05-18T14:00:00,"['Delhi Capitals', 'Gujarat Titans']",FALSE,FALSE,TRUE,FALSE,FALSE,60th Match
37ffb02f-3858-4afd-8229-62f18f88693f,"Lucknow Super Giants vs Sunrisers Hyderabad, 61st Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5/19/2025,2025-05-19T14:00:00,"['Lucknow Super Giants', 'Sunrisers Hyderabad']",FALSE,FALSE,TRUE,FALSE,FALSE,61st Match
347e27a7-5e40-428f-8afb-adfae1d5d3dd,"Chennai Super Kings vs Rajasthan Royals, 62nd Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",5/20/2025,2025-05-20T14:00:00,"['Chennai Super Kings', 'Rajasthan Royals']",FALSE,FALSE,TRUE,FALSE,FALSE,62nd Match
a4109c61-bed5-47fd-badd-f7e1e1291b82,"Mumbai Indians vs Delhi Capitals, 63rd Match",t20,Match not started,"Wankhede Stadium, Mumbai",5/21/2025,2025-05-21T14:00:00,"['Mumbai Indians', 'Delhi Capitals']",FALSE,FALSE,TRUE,FALSE,FALSE,63rd Match
513ef018-fd16-4fe6-b6d6-d84631e810b9,"Gujarat Titans vs Lucknow Super Giants, 64th Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",5/22/2025,2025-05-22T14:00:00,"['Gujarat Titans', 'Lucknow Super Giants']",FALSE,FALSE,TRUE,FALSE,FALSE,64th Match
20aacd15-ede1-4447-9b21-dd08e51900b2,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 65th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",5/23/2025,2025-05-23T14:00:00,"['Royal Challengers Bengaluru', 'Sunrisers Hyderabad']",FALSE,FALSE,TRUE,FALSE,FALSE,65th Match
d14c8675-b2c6-4f20-920c-d44cc8d60fe7,"Punjab Kings vs Delhi Capitals, 66th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",5/24/2025,2025-05-24T14:00:00,"['Punjab Kings', 'Delhi Capitals']",FALSE,FALSE,TRUE,FALSE,FALSE,66th Match
f16e5b1e-1437-475b-8e8c-07d1d736f8a7,"Gujarat Titans vs Chennai Super Kings, 67th Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",5/25/2025,2025-05-25T10:00:00,"['Gujarat Titans', 'Chennai Super Kings']",FALSE,FALSE,TRUE,FALSE,FALSE,67th Match
17f1c3f0-1ed8-4d84-8b8f-6a3e3357f47b,"Sunrisers Hyderabad vs Kolkata Knight Riders, 68th Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",5/25/2025,2025-05-25T14:00:00,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']",FALSE,FALSE,TRUE,FALSE,FALSE,68th Match
2207d377-6fe1-4197-9fb1-744e48c7e2d1,"Punjab Kings vs Mumbai Indians, 69th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",5/26/2025,2025-05-26T14:00:00,"['Punjab Kings', 'Mumbai Indians']",FALSE,FALSE,TRUE,FALSE,FALSE,69th Match
6f407b82-f31f-4e4e-bf65-763919972804,"Lucknow Super Giants vs Royal Challengers Bengaluru, 70th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5/27/2025,2025-05-27T14:00:00,"['Lucknow Super Giants', 'Royal Challengers Bengaluru']",FALSE,FALSE,TRUE,FALSE,FALSE,70th Match
c0de6e70-b66d-4d1e-9915-599bb417f8f4,"Punjab Kings vs Delhi Capitals, No result",t20,Match abandoned due to significant technical failure,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5/8/2025,2025-05-08T14:00:00,"['Punjab Kings', 'Delhi Capitals']",TRUE,TRUE,TRUE,TRUE,FALSE,
bc3351d1-f950-4aa6-bb6f-473517a06885,"Tbc vs Tbc, Qualifier 1",t20,Match not started,"TBC, TBC",5/29/2025,2025-05-29T14:00:00,"['Tbc', 'Tbc']",FALSE,FALSE,FALSE,FALSE,FALSE,
21cf482e-bb64-4b40-b6e0-6b51c77ba464,"Tbc vs Tbc, Eliminator",t20,Match not started,"TBC, TBC",5/30/2025,2025-05-30T14:00:00,"['Tbc', 'Tbc']",FALSE,FALSE,FALSE,FALSE,FALSE,
c8425e58-85a4-4e8e-a56c-8afae638effb,"Tbc vs Tbc, Qualifier 2",t20,Match not started,"TBC, TBC",6/1/2025,2025-06-01T14:00:00,"['Tbc', 'Tbc']",FALSE,FALSE,FALSE,FALSE,FALSE,
38f4d432-1349-4223-87ab-b1279c553754,"Tbc vs Tbc, Final",t20,Match not started,"TBC, TBC",6/3/2025,2025-06-03T14:00:00,"['Tbc', 'Tbc']",FALSE,FALSE,FALSE,FALSE,FALSE,
